"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-01","0.8",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-02","0.1",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-03","1.0",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-04","0.0",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-05","21.3",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-06","0.1",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-07","0.0",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-08","0.0",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-09","0.0",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-10","0.0",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-11","0.4",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-12","0.0",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-13","0.9",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-14","0.1",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-15","0.0",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-16","0.0",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-17","0.0",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-18","0.1",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-19","0.1",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-20","1.5",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-21","0.8",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-22","0.4",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-23","14.0",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-24","1.3",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-25","2.6",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-26","7.4",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-27","4.5",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-28","0.3",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-29","0.0",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-30","0.3",",,E",,,,,,,,
"UKE00105860","NEWTON RIGG, UK","54.67","-2.7858","169.0","2025-01-31","0.0",",,E",,,,,,,,
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-01","9.2",",,E",,,,,"4.5",",,E","10.7",",I,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-02","0.4",",,E",,,,,"5.8",",,E","-1.6",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-03","0.0",",,E",,,,,"13.1",",,E","-6.2",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-04","17.2",",,E",,,,,"13.8",",,E","-5.1",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-05","15.4",",,E",,,,,"6.7",",,E","1.1",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-06","3.4",",,E",,,,,"6.9",",,E","4.0",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-07","0.2",",,E",,,,,"3.0",",,E","1.2",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-08","2.8",",,E",,,,,"6.7",",,E","-3.4",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-09","0.0",",,E",,,,,"4.2",",,E","-2.9",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-10","0.2",",,E",,,,,"6.2",",,E","-3.8",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-11","0.0",",,E",,,,,"8.0",",,E","-3.0",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-12","0.0",",,E",,,,,"7.1",",,E","-1.6",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-13","0.0",",,E",,,,,"10.7",",,E","1.2",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-14","0.0",",,E",,,,,"7.2",",,E","1.5",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-15","0.4",",,E",,,,,"8.3",",,E","1.8",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-16","0.0",",,E",,,,,"6.6",",,E","0.8",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-17","0.0",",,E",,,,,"5.0",",,E","2.1",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-18","0.2",",,E",,,,,"4.0",",,E","4.0",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-19","0.2",",,E",,,,,"7.2",",,E","2.3",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-20","3.2",",,E",,,,,"6.7",",,E","2.0",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-21","1.6",",,E",,,,,"8.1",",,E","-0.4",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-22","0.0",",,E",,,,,"11.4",",,E","2.3",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-23","17.0",",,E",,,,,"10.7",",,E","-0.1",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-24","1.0",",,E",,,,,"7.6",",,E","5.7",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-25","11.0",",,E",,,,,"10.3",",,E","-1.9",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-26","31.6",",,E",,,,,"10.1",",,E","0.0",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-27","17.0",",,E",,,,,"9.1",",,E","4.9",",,E"
"UKE00107962","YEOVILTON, UK","51.0058","-2.64","20.0","2025-01-28","2.4",",,E",,,,,"7.5",",,E","5.9",",,E"
